2024-01-12 at 14:45:59 | INFO | Creating the Mismatch Database
2024-01-12 at 14:47:57 | INFO | Created: pan-ebola-1000-0.005/work/mismatch.db
2024-01-12 at 14:48:07 | INFO | Read in MSA: all-ebola.align	seqs:2752	cols:21142
2024-01-12 at 15:02:55 | DEBUG | FKmer: 18	WalksOut
2024-01-12 at 15:02:55 | DEBUG | FKmer: 50	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 51	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 52	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 53	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 54	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 55	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 56	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 57	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 58	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 59	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 60	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 61	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 62	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 63	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 64	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 65	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 66	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 67	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 68	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 69	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 70	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 71	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 72	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 73	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 74	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 75	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 76	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 77	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 78	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 79	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 80	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 81	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 82	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 83	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 84	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 85	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 86	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 87	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 88	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 89	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 90	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 91	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 92	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 93	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 94	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 95	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 96	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 97	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 98	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 99	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 100	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 101	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 102	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 103	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 104	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 105	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 106	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 107	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 108	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 109	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 110	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 111	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 112	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 113	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 114	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 115	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 116	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 117	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 118	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 119	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 120	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 121	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 122	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 123	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 124	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 125	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 126	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 127	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 128	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 129	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 130	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 131	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 132	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 133	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 134	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 135	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 136	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 137	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 138	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 139	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 140	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 141	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 142	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 143	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 144	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 145	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 146	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 147	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 148	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 149	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 150	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 151	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 152	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 153	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 154	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 155	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 156	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 157	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 158	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 159	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 160	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 161	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 162	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 163	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 164	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 165	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 166	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 167	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 168	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 169	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 170	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 171	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 172	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 173	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 174	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 175	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 176	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 177	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 178	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 179	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 180	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 181	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 182	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 183	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 184	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 185	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 186	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 187	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 188	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 189: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 190: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 191	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 192	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 193	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 194	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 195	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 196	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 197	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 198	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 199	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 200	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 201	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 202	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 203	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 204	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 205	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 206	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 207	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 208	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 209	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 210	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 211	DimerFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 212	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 213	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 214	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 215	ContainsInvalidBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 216: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 217	DimerFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 218	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 219	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 220	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 221	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 222	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 223	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 224	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 225	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 226	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 227	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 228	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 229	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 230	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 231	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 232	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 233	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 234	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 235	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 236	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 237	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 238	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 239	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 240	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 241	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 242	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 243	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 244	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 245	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 246	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 247	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 248	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 249	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 250	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 251	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 252	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 253	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 254	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 255	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 256	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 257	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 258	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 259	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 260	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 261	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 262	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 263	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 264	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 265	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 266	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 267	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 268	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 269	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 270	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 271	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 272	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 273	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 274	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 275	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 276	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 277	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 278	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 279	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 280	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 281	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 282	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 283	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 284	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 285	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 286: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 287: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 288: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 289: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 290: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 291	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 292	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 293	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 294	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 295	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 296	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 297	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 298	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 299	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 300	DimerFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 301	DimerFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 302	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 303	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 304	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 305	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 306	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 307	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 308	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 309	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 310	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 311	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 312	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 313	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 314	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 315	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 316	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 317	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 318	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 319	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 320	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 321	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 322	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 323	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 324	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 325	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 326	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 327	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 328	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 329	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 330	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 331	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 332	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 333	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 334	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 335	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 336	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 337	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 338	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 339	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 340	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 341	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 342	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 343	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 344	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 345	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 346: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 347	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 348: AllPass
2024-01-12 at 15:02:55 | DEBUG | FKmer: 349	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 350	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 351	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 352	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 353	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 354	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 355	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 356	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 357	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 358	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 359	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 360	HairpinFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 361	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 362	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 363	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 364	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 365	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 366	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 367	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 368	GapOnSetBase
2024-01-12 at 15:02:55 | DEBUG | FKmer: 369	ThermoFail
2024-01-12 at 15:02:55 | DEBUG | FKmer: 370	ThermoFail
